Date,Close
10/14/2015,120.05
10/15/2015,122.44
10/16/2015,123.96
10/19/2015,123.55
10/20/2015,122.21
10/21/2015,123.7
10/22/2015,125.23
10/23/2015,125.74
10/26/2015,125.33
10/27/2015,124.83
10/28/2015,126.36
10/29/2015,123.24
10/30/2015,122.62
11/2/2015,123.3
11/3/2015,123.39
11/4/2015,123.56
11/5/2015,124.86
11/6/2015,122.92
11/9/2015,122.22
11/10/2015,123.59
11/11/2015,123.23
11/12/2015,121.73
11/13/2015,121.27
11/16/2015,122.04
11/17/2015,123.15
11/18/2015,124.91
11/19/2015,123.89
11/20/2015,123.67
11/23/2015,123.12
11/24/2015,124.02
11/25/2015,123.86
11/27/2015,124.37
11/30/2015,124.42
12/1/2015,125.92
12/2/2015,125.74
12/3/2015,124.72
12/4/2015,125.9
12/7/2015,125.15
12/8/2015,122.52
12/9/2015,123.9
12/10/2015,124.89
12/11/2015,123.67
12/14/2015,122.5
12/15/2015,122.17
12/16/2015,126.66
12/17/2015,124.8
12/18/2015,124.39
12/21/2015,124.65
12/22/2015,125.58
12/23/2015,127.15
12/24/2015,125.77
12/28/2015,124.47
12/29/2015,124.76
12/30/2015,123.22
12/31/2015,123.04
1/4/2016,121.46
1/5/2016,121.14
1/6/2016,118.38
1/7/2016,115.57
1/8/2016,113.06
1/11/2016,114.81
1/12/2016,115.83
1/13/2016,114.99
1/14/2016,116.29
1/15/2016,112.6
1/19/2016,115.02
1/20/2016,111.51
1/21/2016,111.1
1/22/2016,115.95
1/25/2016,113.41
1/26/2016,114.35
1/27/2016,115.32
1/28/2016,116.12
1/29/2016,120.03
2/1/2016,120.4
2/2/2016,119
2/3/2016,114.99
2/4/2016,114.29
2/5/2016,110.39
2/8/2016,109.13
2/9/2016,106.84
2/10/2016,106.77
2/11/2016,105.08
2/12/2016,105.26
2/16/2016,108.21
2/17/2016,108.13
2/18/2016,107.45
2/19/2016,105.31
2/22/2016,106.69
2/23/2016,105.62
2/24/2016,104.59
2/25/2016,105.57
2/26/2016,105.14
2/29/2016,104.1
3/1/2016,106.41
3/2/2016,106.99
3/3/2016,108.57
3/4/2016,109.55
3/7/2016,107.91
3/8/2016,105.82
3/9/2016,106.25
3/10/2016,107.08
3/11/2016,109.26
3/14/2016,108.95
3/15/2016,107.22
3/16/2016,107.54
3/17/2016,107.93
3/18/2016,106.6
3/21/2016,107.14
3/22/2016,108.6
3/23/2016,108.1
3/24/2016,106.32
3/28/2016,108.69
3/29/2016,108.35
3/30/2016,107.6
3/31/2016,106.32
4/1/2016,103.54
4/4/2016,101.38
4/5/2016,98.74
4/6/2016,99.51
4/7/2016,98.27
4/8/2016,100.66
4/11/2016,98.43
4/12/2016,101.58
4/13/2016,104.26
4/14/2016,104.96
4/15/2016,103.68
4/18/2016,103.36
4/19/2016,104.7
4/20/2016,104.85
4/21/2016,105.44
4/22/2016,107.45
4/25/2016,107.34
4/26/2016,107.32
4/27/2016,106.37
4/28/2016,102.96
4/29/2016,101.7
5/2/2016,102.47
5/3/2016,101.45
5/4/2016,100.62
5/5/2016,101.27
